Model,Publication date,Organization,Domain,Task,log_parameters
Cosmos-Transfer2.5-2B,2025-09-29,NVIDIA,"Video,Image generation","Video generation,Text-to-video,Image-to-video,Image generation,Text-to-image,Video-to-video",9.301029995663981
Cosmos-Predict2.5-14B,2025-09-29,NVIDIA,Video,"Video generation,Text-to-video,Image-to-video,Video-to-video",10.146128035678238
Cosmos-Predict2.5 2B,2025-09-29,NVIDIA,Video,"Video generation,Text-to-video,Image-to-video,Video-to-video",9.301029995663981
DeepSeek-V3.2-Exp,2025-09-29,DeepSeek,Language,"Language modeling/generation,Code generation,Quantitative reasoning,Question answering,Search,System control,Instruction interpretation",11.826722520168993
MinerU2.5,2025-09-29,"Shanghai AI Lab,Peking University,Shanghai Jiao Tong University","Language,Vision,Multimodal","Visual question answering,Character recognition (OCR)",9.079181246047625
Wan 2.5,2025-09-29,Alibaba,"Video,Vision","Video generation,Audio generation,Text-to-video,Image-to-video",
Seedream 4.0,2025-09-28,ByteDance,Image generation,"Image generation,Text-to-image",
Kling 2.5 Turbo,2025-09-26,Kuaishou Technology,"Video,Vision","Image-to-video,Video generation",
Suno v5,2025-09-25,Suno,Audio,Audio generation,
Gemini Robotics 1.5 ,2025-09-25,Google DeepMind,"Robotics,Vision,Language","Robotic manipulation,Instruction interpretation",
Gemini Robotics-ER 1.5,2025-09-25,Google DeepMind,"Vision,Language,Speech","Instruction interpretation,Robotic manipulation,Image captioning,Object detection,Search,Language modeling/generation,Question answering,Speech recognition (ASR)",
GigaEmbeddings,2025-09-25,"Sber,Moscow Institute of Physics and Technology",Language,Semantic embedding,9.477121254719663
Gemini 2.5 Flash (Sep 2025),2025-09-25,Google DeepMind,"Language,Multimodal,Vision,Speech,Video","Language modeling/generation,Question answering,Code generation,Quantitative reasoning,Visual question answering,Translation,Image captioning,Speech recognition (ASR),Video description,Search,Text summarization,Chat",
Gemini 2.5 Flash-Lite (Sep 2025),2025-09-25,Google DeepMind,"Language,Vision,Video,Speech,Multimodal","Language modeling/generation,Question answering,Translation,Text classification,Quantitative reasoning,Search,Code generation,Visual question answering,Video description,Speech recognition (ASR),Character recognition (OCR),System control",
SimpleFold,2025-09-23,Apple,Biology,Protein folding prediction,9.477121254719663
DeepSeek-V3.1-Terminus,2025-09-22,DeepSeek,Language,"Language modeling/generation,Code generation,Quantitative reasoning,Question answering,Search,System control,Instruction interpretation",11.826722520168993
Qwen3-Omni-Flash,2025-09-22,Alibaba,"Multimodal,Language,Vision,Speech,Video","Language modeling/generation,Question answering,Visual question answering,Image captioning,Video description,Speech recognition (ASR),Speech synthesis,Speech-to-text,Text-to-speech (TTS)",10.547774705387823
Qwen3-Omni-30B-A3B,2025-09-22,Alibaba,"Multimodal,Language,Vision,Speech,Video","Language modeling/generation,Question answering,Visual question answering,Image captioning,Video description,Speech recognition (ASR),Speech synthesis,Speech-to-text,Text-to-speech (TTS)",10.547774705387823
Grok 4 Fast,2025-09-19,xAI,Language,"Language modeling/generation,Question answering,Quantitative reasoning,Search,Code generation,Mathematical reasoning",
Magistral Small 1.2,2025-09-18,Mistral AI,"Language,Vision,Multimodal","Language modeling/generation,Question answering,Quantitative reasoning,Code generation,Translation,Visual question answering,Image captioning",10.380211241711606
Magistral Medium 1.2,2025-09-18,Mistral AI,Language,"Language modeling/generation,Question answering,Quantitative reasoning,Code generation,Translation",
Granite-Docling,2025-09-17,IBM,"Vision,Multimodal,Language","Visual question answering,Character recognition (OCR),Retrieval-augmented generation",8.411619705963231
AgentFounder-30B,2025-09-16,Alibaba,Language,"Language modeling/generation,Question answering,System control,Quantitative reasoning,Mathematical reasoning,Code generation,Search",10.477121254719663
Fabric 1.0,2025-09-15,Veed,Video,"Video generation,Image-to-video",
GPT‑5-Codex,2025-09-15,OpenAI,Language,"Code generation,System control",
Qwen3-Next-80B-A3B,2025-09-10,Alibaba,Language,"Language modeling/generation,Question answering,System control,Code generation",10.903089986991944
Lucid Origin,2025-09-10,Leonardo AI,Video,"Video generation,Text-to-video",
Ling-mini-base-2.0-20T,2025-09-10,Ant Group,Language,"Language modeling/generation,Question answering",10.204119982655925
Ling-flash-base-2.0-20T,2025-09-10,Ant Group,Language,"Language modeling/generation,Question answering",11.0
K2 Think,2025-09-09,"Mohamed bin Zayed University of Artificial Intelligence (MBZUAI),G42",Language,"Language modeling/generation,Question answering,Quantitative reasoning,Code generation",10.505149978319906
Signal Processing Transformer,2025-09-09,Softbank,Other,Signal processing,
Qwen3-Max,2025-09-05,Alibaba,Language,"Language modeling/generation,Question answering,Mathematical reasoning,Code generation,Quantitative reasoning,Retrieval-augmented generation,Translation",12.0
EmbeddingGemma,2025-09-05,Google DeepMind,Language,Semantic embedding,8.488550716500445
Chatterbox Multilingual,2025-09-04,Resemble AI,Speech,"Text-to-speech (TTS),Speech synthesis",
Apertus 8B,2025-09-02,"ETH Zurich,Ecole Polytechnique F´ed´erale de Lausanne (EPFL),Swiss National Supercomputing Centre (CSCS),Swisscom",Language,"Language modeling/generation,Question answering,Code generation,Translation",9.903089986991944
Apertus 70B,2025-09-02,"ETH Zurich,Ecole Polytechnique F´ed´erale de Lausanne (EPFL),Swiss National Supercomputing Centre (CSCS),Swisscom",Language,"Language modeling/generation,Question answering,Code generation,Translation",10.845098040014257
LongCat-Flash,2025-09-01,Meituan Inc,Language,"Language modeling/generation,Question answering,Chat,Code generation,Quantitative reasoning,Instruction interpretation",11.7481880270062
MultiverSeg,2025-08-31,"Massachusetts Institute of Technology (MIT),Databricks","Vision,Biology,Medicine",Image segmentation,
gpt-realtime,2025-08-28,OpenAI,"Speech,Vision,Language","Speech recognition (ASR),Speech synthesis,Visual question answering,Speech-to-speech,Audio question answering",
MAI-Voice-1,2025-08-28,Microsoft,Speech,"Text-to-speech (TTS),Speech synthesis",
Grok Code Fast 1,2025-08-28,xAI,Language,"Language modeling/generation,Code generation,Code autocompletion",
Wan 2.2 14B S2V,2025-08-26,Alibaba,"Video,Speech","Speech recognition (ASR),Video generation",10.431363764158988
Gemini 2.5 Flash Image (Nano Banana),2025-08-26,Google,Image generation,"Image generation,Text-to-image,Image-to-image",
YandexGPT 5.1 Pro,2025-08-25,Yandex,Language,"Language modeling/generation,Question answering,Code generation,Mathematical reasoning,Retrieval-augmented generation",
DeepSeek-V3.1,2025-08-21,DeepSeek,Language,"Language modeling/generation,Code generation,Quantitative reasoning,Question answering,Search,System control,Instruction interpretation",11.826722520168993
Seed-OSS-36B-Base,2025-08-21,ByteDance,Language,"Language modeling/generation,Question answering,System control,Code generation,Mathematical reasoning",
Cohere Command A Reasoning,2025-08-21,Cohere,Language,"Language modeling/generation,Question answering,Quantitative reasoning",11.045322978786658
Teuken 7B,2025-08-21,"OpenGPT-X,Fraunhofer Institute for Algorithms and Scientific Computing,Forschungszentrum Julich,Technische Universität Dresden",Language,"Language modeling/generation,Question answering",9.845098040014257
Surya,2025-08-20,"NASA,University of Alabama,IBM Research",Earth science,"Heliophysics,Weather forecasting",8.563481085394411
Gemma-SEA-LION-v4-27B-IT,2025-08-20,AI Singapore,"Multimodal,Language,Vision","Language modeling/generation,Question answering,Visual question answering",10.431363764158988
FlowER,2025-08-20,Massachusetts Institute of Technology (MIT),Materials science,Unknown,9.845098040014257
MolmoAct-7B-D,2025-08-19,"Allen Institute for AI,University of Washington",Robotics,Robotic manipulation,9.845098040014257
NVIDIA-Nemotron-Nano-9B-v2,2025-08-18,NVIDIA,Language,"Language modeling/generation,Question answering",9.954242509439325
NVIDIA-Nemotron-Nano-12B-v2,2025-08-18,NVIDIA,Language,"Language modeling/generation,Question answering",10.079181246047625
Qwen Image Edit,2025-08-18,Alibaba,Image generation,Image-to-image,10.431363764158988
Ovis2.5 9B,2025-08-15,Alibaba,"Multimodal,Language,Vision,Video","Language modeling/generation,Visual question answering,Question answering,Character recognition (OCR),Image captioning,Quantitative reasoning,Mathematical reasoning,Video description",9.954242509439325
Ovis2.5 2B,2025-08-15,Alibaba,"Multimodal,Language,Vision,Video","Language modeling/generation,Visual question answering,Question answering,Character recognition (OCR),Image captioning,Quantitative reasoning,Mathematical reasoning,Video description",9.301029995663981
GLM-4.5V,2025-08-15,"Z.ai (Zhipu AI),Tsinghua University","Multimodal,Vision,Language,Video","Language modeling/generation,Question answering,Visual question answering,Image captioning,Video description,Table tasks,Character recognition (OCR)",11.03342375548695
GLM-4.1V-Thinking,2025-08-15,"Z.ai (Zhipu AI),Tsinghua University","Multimodal,Vision,Language","Language modeling/generation,Question answering,Visual question answering,Image captioning",9.954242509439325
imagen 4 fast,2025-08-15,Google,Image generation,"Image generation,Text-to-image",
Canary 1B v2,2025-08-14,NVIDIA,Speech,"Speech recognition (ASR),Translation,Speech-to-text",9.0
Parakeet-tdt-0.6b-v3,2025-08-14,NVIDIA,Speech,"Speech-to-text,Speech recognition (ASR)",5.778151250383644
Gemma 3 270M,2025-08-14,Google DeepMind,Language,"Language modeling/generation,Question answering",8.431363764158988
Marey Realism v1.5,2025-08-14,Moonvalley,Video,"Text-to-video,Video generation",
GPT-5,2025-08-07,OpenAI,"Multimodal,Language,Vision",Unknown,
GPT-5 mini,2025-08-07,OpenAI,"Multimodal,Language,Vision",Unknown,
GPT-5 nano,2025-08-07,OpenAI,"Multimodal,Language,Vision",Unknown,
Ideogram Character,2025-08-07,Ideogram,Image generation,"Image-to-image,Image generation",
Claude Opus 4.1,2025-08-05,Anthropic,"Language,Multimodal,Vision","Language modeling/generation,Question answering,System control,Code generation,Search,Quantitative reasoning,Mathematical reasoning,Visual question answering",
gpt-oss-120b,2025-08-05,OpenAI,Language,"Language modeling/generation,Question answering",11.067554376693504
gpt-oss-20b,2025-08-05,OpenAI,Language,"Language modeling/generation,Question answering",10.320354032817672
GLM-4.5,2025-08-05,"Z.ai (Zhipu AI),Tsinghua University",Language,"Language modeling/generation,Question answering,Code generation,Quantitative reasoning",11.550228353055093
Genie 3,2025-08-05,Google DeepMind,"Games,Video,3D modeling","Video generation,Text-to-video",
GLM-4.5-Air,2025-08-05,"Z.ai (Zhipu AI),Tsinghua University",Language,"Language modeling/generation,Question answering,Visual question answering,Image captioning,Video description,Table tasks,Character recognition (OCR)",11.02530586526477
Qwen Image,2025-08-04,Alibaba,"Image generation,Vision","Image generation,Text-to-image,Image-to-image",10.431363764158988
Hierarchical Reasoning Model (HPM),2025-08-04,Sapient Intelligence,"Language,Vision,Multimodal",Visual puzzles,7.431363764158987
rStar-Math (Qwen2.5-Math-7B base),2025-08-01,"Microsoft Research Asia,Peking University,Tsinghua University",Language,"Language modeling/generation,Mathematical reasoning",9.845098040014257
rStar-Math (Qwen2-Math-7B base),2025-08-01,"Microsoft Research Asia,Peking University,Tsinghua University",Language,"Language modeling/generation,Mathematical reasoning",9.845098040014257
MindLink-72B,2025-08-01,Kunlun Inc.,Language,"Code generation,Mathematical reasoning",10.857332496431269
MindLink-32B,2025-08-01,Kunlun Inc.,Language,"Code generation,Mathematical reasoning",10.505149978319906
Gemini 2.5 Deep Think,2025-08-01,"Google,Google DeepMind","Language,Multimodal,Vision,Video,Audio,Mathematics","Language modeling/generation,Mathematical reasoning,Code generation,Visual question answering,Question answering,Visual puzzles,Video description,Speech recognition (ASR),Speech-to-text",
Tri-21B,2025-08-01,Trillion Labs,Language,"Language modeling/generation,Question answering,Code generation,Quantitative reasoning",10.316599302093861
Veo 3 Fast,2025-07-31,Google DeepMind,"Video,Vision","Image-to-video,Video generation,Text-to-video",
Command A Vision,2025-07-31,Cohere,"Vision,Multimodal,Language","Visual question answering,Character recognition (OCR),Language modeling/generation,Question answering",11.049218022670182
AlphaEarth Foundations (AEF),2025-07-30,"Google DeepMind,Google",Earth science,"Entity embedding,Crop Mapping / Segmentation",8.681241237375588
Llama Nemotron Super v1.5,2025-07-29,NVIDIA,Language,"Language modeling/generation,Question answering,Code generation,Mathematical reasoning,Chat,Instruction interpretation,Retrieval-augmented generation",10.690196080028514
Wan 2.2 14B T2V,2025-07-28,Alibaba,Video,"Video generation,Text-to-video",10.146128035678238
Wan 2.2 14B I2V,2025-07-28,Alibaba,"Video,Vision","Video generation,Image-to-video",10.146128035678238
Agentar-Fin-R1 32B,2025-07-27,Ant Group,Language,"Financial management,Language modeling/generation,Question answering",10.505149978319906
Agentar-Fin-R1 8B,2025-07-27,Ant Group,Language,"Financial management,Language modeling/generation,Question answering",9.903089986991944
Qwen3-235B-A22B-Thinking (Jul 2025),2025-07-25,Alibaba,Language,"Language modeling/generation,Question answering,Mathematical reasoning,Quantitative reasoning,Code generation,Translation",11.371067862271737
Qwen3-235B-A22B-Instruct (Jul 2025),2025-07-25,Alibaba,Language,"Language modeling/generation,Question answering,Mathematical reasoning,Quantitative reasoning,Code generation,Translation",11.371067862271737
Seed Prover,2025-07-23,ByteDance,Language,Mathematical reasoning,
Aeneas,2025-07-23,"Google DeepMind,University of Nottingham,University of Warwick,Athens University of Economics and Business,Google,University of Oxford","Vision,Multimodal,Language","Character recognition (OCR),Visual question answering",
Qwen3-Coder-480B-A35B,2025-07-22,Alibaba,Language,"Language modeling/generation,Question answering,Code generation,System control",11.681241237375588
T-Pro 2.0,2025-07-18,T-Bank,Language,"Language modeling/generation,Question answering,Quantitative reasoning",10.505149978319906
ChatGPT agent,2025-07-17,OpenAI,Language,"Language modeling/generation,Question answering,Quantitative reasoning,System control,Table tasks,Code generation,Instruction interpretation,Translation,Search",
OpenReasoning-Nemotron-32B,2025-07-16,NVIDIA,Language,"Language modeling/generation,Question answering,Quantitative reasoning,Code generation,Mathematical reasoning",10.505149978319906
EXAONE 4.0 (32B),2025-07-15,LG AI Research,Language,"Language modeling/generation,Question answering,Code generation,Quantitative reasoning,Translation",10.505149978319906
EXAONE 4.0 (1.2B),2025-07-15,LG AI Research,Language,"Language modeling/generation,Question answering,Code generation,Quantitative reasoning,Translation",9.079181246047625
Voxtral Small,2025-07-15,Mistral AI,Speech,"Audio question answering,Speech recognition (ASR),Speech-to-text,Language modeling/generation,Question answering",10.385606273598313
