Model,Publication date,Organization,Domain,Task,log_parameters
Marey,2025-03-12,Moonvalley,Video,"Video generation,Text-to-video,Image-to-video",
Hunyuan-TurboS,2025-03-11,Tencent,Language,"Language modeling/generation,Quantitative reasoning,Question answering,Code generation,Text summarization",11.7481880270062
YuE,2025-03-11,"Hong Kong University of Science and Technology (HKUST),Multimodal Art Projection (MAP)",Speech,"Music generation,Text-to-speech (TTS)",9.845098040014257
Reka Flash 3,2025-03-10,Reka AI,"Multimodal,Language,Vision,Video,Speech","Chat,Code generation,Language modeling/generation,Quantitative reasoning,Question answering,Character recognition (OCR),Visual question answering,Video description,Speech recognition (ASR)",10.32221929473392
Seedream 2.0,2025-03-10,ByteDance,Image generation,"Image generation,Text-to-image",
FoxBrain,2025-03-10,Foxconn,Language,"Language modeling/generation,Question answering,Mathematical reasoning",10.845098040014257
"Ling-lite-1.5 (""Bailing"")",2025-03-10,Ant Group,Language,"Language modeling/generation,Question answering,Code generation",10.225309281725863
"Ling-Plus (""Bailing"")",2025-03-10,Ant Group,Language,"Language modeling/generation,Question answering,Code generation",11.462397997898956
Sonic 2,2025-03-07,Cartesia,Speech,"Text-to-speech (TTS),Speech synthesis",
QwQ-32B,2025-03-06,Alibaba,Language,"Language modeling/generation,Question answering,Quantitative reasoning,Code generation",10.511883360978874
Mistral OCR,2025-03-06,Mistral AI,"Multimodal,Vision,Language","Character recognition (OCR),Chat,Language generation",
Jamba 1.6 Mini,2025-03-06,AI21 Labs,Language,"Language modeling/generation,Question answering,Code generation,Retrieval-augmented generation,Chat,Quantitative reasoning,Table tasks,Translation",10.7160033436348
Jamba 1.6 Large,2025-03-06,AI21 Labs,Language,"Language modeling/generation,Question answering,Code generation,Retrieval-augmented generation,Chat,Quantitative reasoning,Table tasks,Translation",11.599883072073688
Character-3,2025-03-06,Hedra AI,"Video,Audio","Video generation,Text-to-video",
LTX-Video-0.9.5. 2B,2025-03-05,Lightricks,Video,"Video generation,Text-to-video,Image-to-video",9.278753600952829
Phi-4 Mini,2025-03-03,Microsoft,Language,"Language modeling/generation,Visual question answering,Code generation,Quantitative reasoning,Translation",9.57978359661681
Phi-4-Multimodal,2025-03-03,Microsoft,"Multimodal,Language,Vision,Speech","Language modeling/generation,Question answering,Visual question answering,Speech recognition (ASR),Translation,Audio question answering,Character recognition (OCR)",9.7481880270062
Aya Vision 32B,2025-03-03,Cohere,"Multimodal,Vision,Language","Language generation,Image captioning,Visual question answering,Language modeling/generation,Question answering",10.519827993775719
Hailuo I2V-01-Director,2025-03-03,"MiniMax,Hailuo AI","Video,Vision","Video generation,Image-to-video",
Hailuo T2V-01-Director,2025-03-03,"MiniMax,Hailuo AI",Video,"Video generation,Text-to-video",
Spark-X1,2025-03-03,iFlytek,"Language,Mathematics","Language modeling/generation,Chat,Mathematical reasoning",10.845098040014257
Difix3D+,2025-03-03,"NVIDIA,National University of Singapore,University of Toronto,Vector Institute",3D modeling,3D reconstruction,
Image-01,2025-02-28,MiniMax,Image generation,"Text-to-image,Image generation",
GPT-4.5,2025-02-27,OpenAI,"Language,Vision,Multimodal","Language modeling/generation,Question answering,Quantitative reasoning,Translation,Visual question answering,Code generation,Instruction interpretation",
Kimi 1.6,2025-02-27,Moonshot,Language,Code generation,
Mercury,2025-02-27,Inception Labs,Language,Code generation,
Pika 2.2,2025-02-27,Pika Labs,"Video,Vision","Video generation,Text-to-video,Image-to-video",
Granite 3.2 8B,2025-02-26,IBM,Language,"Mathematical reasoning,Quantitative reasoning,Language modeling/generation,Question answering",9.903089986991944
Granite 3.2 2B ,2025-02-26,IBM,Language,"Mathematical reasoning,Quantitative reasoning,Language modeling/generation,Question answering,Text summarization,Text classification,Translation,Code generation",9.403120521175818
Granite Guardian 3.2,2025-02-26,IBM,Language,"Quantitative reasoning,Language modeling/generation,Question answering",
Euler (Euler大模型),2025-02-26,Unknown,Language,Chat,9.397940008672037
Eleven Scribe,2025-02-26,ElevenLabs,Speech,"Speech-to-text,Speech recognition (ASR)",
Granite 3.2 2B,2025-02-26,IBM Research,Unknown,Unknown,9.301029995663981
Wan 2.1 14B I2V,2025-02-25,Alibaba,"Video,Vision","Video generation,Image-to-video,Text-to-video",10.146128035678238
Bailing-Pro-20250225,2025-02-25,Ant Group,Language,"Language modeling/generation,Question answering",
Tianxi-7B,2025-02-25,Lenovo,Language,"Text summarization,Translation,Language modeling/generation,Question answering",9.845098040014257
BFS-Prover,2025-02-25,ByteDance,Language,Mathematical reasoning,9.845098040014257
YandexGPT 5 Pro,2025-02-25,Yandex,Language,"Language modeling/generation,Question answering,Code generation,Mathematical reasoning,Retrieval-augmented generation",
YandexGPT 5 Lite,2025-02-25,Yandex,Language,"Language modeling/generation,Question answering,Code generation,Mathematical reasoning,Retrieval-augmented generation",9.903089986991944
Claude 3.7 Sonnet,2025-02-24,Anthropic,"Language,Vision,Multimodal","Language modeling/generation,Question answering,Code generation,Quantitative reasoning,Translation,Instruction interpretation,Visual question answering",
Step-Video-T2V,2025-02-24,StepFun,Video,"Video generation,Text-to-video",10.477121254719663
Baigong (百工),2025-02-21,"Shanghai Lingyi Artificial Intelligence Technology Co., Ltd.",Robotics,Manufacturing Automation,
Helix,2025-02-20,Figure AI,Robotics,"Animal (human/non-human) imitation,Robotic manipulation",9.85003325768977
SigLIP 2,2025-02-20,Google DeepMind,Vision,"Image classification,Image embedding",9.056904851336473
Evo 2 40B,2025-02-19,"Arc Institute,Stanford University,NVIDIA,Liquid,University of California (UC) Berkeley,Goodfire,Columbia University,University of California San Francisco",Biology,Protein or nucleotide language model (pLM/nLM),10.60530504614111
Evo 2 7B,2025-02-19,"Arc Institute,Stanford University,NVIDIA,Liquid,University of California (UC) Berkeley,Goodfire,Columbia University,University of California San Francisco",Biology,Protein or nucleotide language model (pLM/nLM),9.845098040014257
Grok-3 mini,2025-02-19,xAI,Language,"Language modeling/generation,Question answering",
PaliGemma 2 3B Mix 224,2025-02-19,Google,"Vision,Multimodal,Language","Image captioning,Visual question answering,Object detection,Image segmentation,Object recognition,Character recognition (OCR)",9.465382851448418
PaliGemma 2 3B Mix 448,2025-02-19,Google,"Vision,Multimodal,Language","Image captioning,Visual question answering,Object detection,Object recognition,Image segmentation,Character recognition (OCR)",9.465382851448418
Qwen2.5-VL-72B,2025-02-19,Alibaba,"Language,Vision,Multimodal","Visual question answering,Video description,Language modeling/generation,Translation,Question answering,Character recognition (OCR),Quantitative reasoning",10.857332496431269
Qwen2.5-VL-7B ,2025-02-19,Alibaba,"Language,Vision,Multimodal","Visual question answering,Video description,Language modeling/generation,Translation,Question answering,Character recognition (OCR),Quantitative reasoning",9.845098040014257
Qwen2.5-VL-3B,2025-02-19,Alibaba,"Language,Vision,Multimodal","Visual question answering,Video description,Language modeling/generation,Translation,Question answering,Character recognition (OCR),Quantitative reasoning",9.477121254719663
R1 1776,2025-02-18,Perplexity,Language,"Language modeling/generation,Question answering,Chat",11.826722520168993
TasiChat (TasiChat大模型),2025-02-18,"Chengdu Tasi Technology Co., Ltd.","Multimodal,Language,Speech","Chat,Language modeling/generation,Question answering,Retrieval-augmented generation,Speech synthesis",
Brain2Qwerty,2025-02-18,"Meta AI,Universite de Technologie de Compiègne – CNRS,Basque Center on Cognition",Language,Language generation,8.602059991327963
Step-Audio-Chat 130B,2025-02-18,StepFun,Speech,"Speech synthesis,Speech recognition (ASR),Speech-to-text,Text-to-speech (TTS),Audio question answering,Audio generation,Speech-to-speech",11.113943352306837
Step-1,2025-02-18,StepFun,Language,"Language modeling/generation,Question answering",11.113943352306837
Step-Omni,2025-02-18,StepFun,"Speech,Language,Multimodal,Vision","Speech synthesis,Speech recognition (ASR),Speech-to-text,Text-to-speech (TTS),Audio question answering,Audio generation,Image captioning,Visual question answering,Speech-to-speech",11.113943352306837
Grok 3,2025-02-17,xAI,"Language,Vision,Multimodal","Chat,Language modeling/generation,Question answering,Code generation,Visual question answering",12.477121254719663
Mistral Saba,2025-02-17,Mistral AI,Language,"Language modeling/generation,Question answering,Chat,Translation",10.380211241711606
YAYI-Ultra,2025-02-15,Yayi (Wenge),"Multimodal,Language,Vision","Language modeling/generation,Code generation,Question answering,Visual question answering,Character recognition (OCR)",
SkyReels-A1,2025-02-15,Kunlun Inc.,Video,"Video generation,Image-to-video",
BRIA 3.1,2025-02-15,BRIA AI,Image generation,Text-to-image,9.602059991327963
LLaDA,2025-02-14,"Renmin University of China,Ant Group",Language,"Code generation,Language modeling/generation",9.903089986991944
Deephermes 3 Llama 3 8B Preview,2025-02-14,Nous Research,Language,"Mathematical reasoning,Quantitative reasoning,Language modeling/generation,Question answering",9.903089986991944
Granite Vision 3.2 2B,2025-02-14,IBM,"Language,Multimodal,Vision","Mathematical reasoning,Quantitative reasoning,Language modeling/generation,Question answering,Visual question answering",9.474216264076254
Sonar Deep Research,2025-02-14,Perplexity,Language,"Question answering,Chat,Language modeling/generation,Quantitative reasoning,Text summarization",
Step-Audio-TTS-3B,2025-02-14,StepFun,Speech,"Text-to-speech (TTS),Speech synthesis",9.477121254719663
OmniHuman-1,2025-02-13,ByteDance,"Video,Vision,Audio","Video generation,Image-to-video",
Sonar,2025-02-11,Perplexity,Language,"Question answering,Chat,Language modeling/generation,Quantitative reasoning,Search",10.845098040014257
OREAL 32B,2025-02-10,"Shanghai AI Lab,Shanghai Jiao Tong University,Chinese University of Hong Kong (CUHK),InnoHK","Mathematics,Language","Mathematical reasoning,Quantitative reasoning,Language modeling/generation,Question answering",10.505149978319906
OREAL 7B,2025-02-10,"Shanghai AI Lab,Shanghai Jiao Tong University,Chinese University of Hong Kong (CUHK),InnoHK","Mathematics,Language","Mathematical reasoning,Quantitative reasoning,Language modeling/generation,Question answering",9.845098040014257
Animate Anyone 2,2025-02-10,Alibaba,Video,"Video generation,Video-to-video,Image-to-video",
Zonos-v0.1,2025-02-10,Zyphra,Speech,"Text-to-speech (TTS),Speech synthesis",9.204119982655925
HAMSTER VLM,2025-02-08,"NVIDIA,University of Washington,University of Southern California",Robotics,Robotic manipulation,10.130138026020305
Goku-8B,2025-02-07,"The University of Hong Kong,ByteDance","Video,Vision","Video generation,Image generation,Text-to-video",9.903089986991944
Goku+,2025-02-07,"The University of Hong Kong,ByteDance","Video,Vision","Video generation,Image-to-video,Text-to-video",
Eurus-2-7B-PRIME,2025-02-03,"Tsinghua University,University of Illinois Urbana-Champaign (UIUC),Shanghai AI Lab,Peking University,Shanghai Jiao Tong University,CUHK Shenzhen Research Institute",Mathematics,"Mathematical reasoning,Code generation",9.845098040014257
Prithvi-EO-2.0 600M,2025-02-03,"IBM Research,NASA,University of Alabama,University of Iceland,Forschungszentrum Julich,Virginia Tech (Virginia Polytechnic Institute and State University),Arizona State University,Oregon State University,Boston University,University of California (UC) Berkeley,Julich Supercomputing Center",Earth science,Unknown,8.778151250383644
Prithvi-EO-2.0 300M,2025-02-03,"IBM Research,NASA,University of Alabama,University of Iceland,Forschungszentrum Julich,Virginia Tech (Virginia Polytechnic Institute and State University),Arizona State University,Oregon State University,Boston University,University of California (UC) Berkeley,Julich Supercomputing Center",Earth science,Unknown,8.477121254719663
o3-mini,2025-01-31,OpenAI,Language,"Language modeling/generation,Question answering,Quantitative reasoning,Code generation",
s1-32B,2025-01-31,"Stanford University,University of Washington,Allen Institute for AI,Contextual AI",Language,"Mathematical reasoning,Language modeling/generation",10.505149978319906
s1.1,2025-01-31,"Stanford University,University of Washington,Allen Institute for AI,Contextual AI",Language,"Mathematical reasoning,Language modeling/generation",10.505149978319906
Mistral Small 3,2025-01-30,Mistral AI,Language,"Language modeling/generation,Question answering,Quantitative reasoning,Code generation,Translation",10.380211241711606
Tulu 3 405B,2025-01-30,"Allen Institute for AI,University of Washington",Language,"Language modeling/generation,Question answering,Quantitative reasoning",11.60745502321467
Sonar Reasoning,2025-01-29,Perplexity,Language,"Question answering,Chat,Language modeling/generation,Quantitative reasoning,Search",
GPT-4o (Jan 2025),2025-01-29,OpenAI,"Multimodal,Language,Audio,Speech,Vision","Chat,Image generation,Audio generation,Vision-language generation,Table tasks,Language modeling/generation,Question answering,Speech recognition (ASR),Speech-to-text",
Qwen2.5-Max,2025-01-28,Alibaba,Language,"Language modeling/generation,Question answering,Code generation",
Janus-Pro-7B,2025-01-27,DeepSeek,"Image generation,Vision,Language,Multimodal","Image generation,Text-to-image,Visual question answering",9.845098040014257
Janus-Pro-1B,2025-01-27,DeepSeek,"Image generation,Vision,Language,Multimodal","Image generation,Text-to-image,Visual question answering",9.0
Kokoro v1.0,2025-01-27,hexgrad,Speech,"Text-to-speech (TTS),Speech synthesis",7.913813852383717
Baichuan-Omni-1.5,2025-01-26,Baichuan,"Multimodal,Language,Speech,Vision,Video,Audio","Language modeling/generation,Question answering,Audio question answering,Speech recognition (ASR),Speech-to-text,Visual question answering,Image captioning,Speech synthesis,Text-to-speech (TTS),Video,Video classification",10.041392685158225
Qwen2.5-VL-7B,2025-01-26,Alibaba,Unknown,Unknown,9.845098040014257
Sonar Pro,2025-01-25,Perplexity,Language,"Question answering,Chat,Language modeling/generation,Search",
Computer-Using Agent (CUA),2025-01-23,OpenAI,"Vision,Language,Multimodal","Instruction interpretation,System control",
DoMINO,2025-01-23,NVIDIA,3D modeling,Aerodynamics simulations,
Luma Ray2,2025-01-23,LumaLabs,Video,"Video generation,Text-to-video",
Doubao-1.5-pro,2025-01-22,ByteDance,Language,Language generation,
Kimi k1.5,2025-01-22,Moonshot,"Multimodal,Language,Vision","Language modeling/generation,Code generation,Quantitative reasoning,Question answering,Visual question answering,Translation,Image captioning,Visual puzzles",
DeepSeek-R1-Distill-Llama-70B,2025-01-22,DeepSeek,Language,"Language modeling/generation,Question answering,Quantitative reasoning,Code generation",10.845098040014257
DeepSeek-R1-Distill-Qwen-14B,2025-01-22,DeepSeek,Language,"Language modeling/generation,Quantitative reasoning,Question answering,Mathematical reasoning,Code generation",10.170261715394957
DeepSeek-R1-Distill-Qwen-1.5B,2025-01-22,DeepSeek,Language,"Language modeling/generation,Quantitative reasoning,Question answering,Mathematical reasoning,Code generation",9.250420002308894
DeepSeek-R1-Distill-Llama-8B,2025-01-22,DeepSeek,Language,"Language modeling/generation,Question answering,Quantitative reasoning,Code generation",9.903089986991944
DeepSeek-R1-Distill-Qwen-32B,2025-01-22,DeepSeek,Language,"Language modeling/generation,Question answering,Quantitative reasoning,Code generation",10.505149978319906
DeepSeek-R1-Distill-Qwen-7B,2025-01-22,DeepSeek,Language,"Language modeling/generation,Question answering,Quantitative reasoning,Code generation",9.845098040014257
gte-modernbert,2025-01-22,Alibaba,Language,"Language modeling/generation,Question answering",8.173186268412275
Hunyuan3D 2.0,2025-01-21,Tencent,"Language,Vision,3D modeling",3D reconstruction,
Gemini 2.0 Flash Thinking (Jan 2025),2025-01-21,"Google DeepMind,Google","Language,Vision,Multimodal","Language modeling/generation,Quantitative reasoning,Question answering,Visual question answering,Code generation",
DeepSeek-R1,2025-01-20,DeepSeek,Language,"Language modeling/generation,Code generation,Quantitative reasoning,Question answering",11.826722520168993
DeepSeek-R1-Zero,2025-01-20,DeepSeek,Language,"Language modeling/generation,Code generation,Quantitative reasoning,Question answering",11.826722520168993
Eagle 2,2025-01-20,"NVIDIA,Nanjing University,Tsinghua University,Hong Kong Polytechnic University,Johns Hopkins University,New York University (NYU)","Vision,Robotics,Language",Unknown,9.950851458888547
Zero-shot Monocular Scene Flow (ZeroMSF),2025-01-20,"NVIDIA,Brown University","3D modeling,Driving","3D reconstruction,Self-driving car",
INTELLECT-MATH,2025-01-17,Prime Intellect,Mathematics,Mathematical reasoning,9.845098040014257
GPT-4b micro,2025-01-17,"OpenAI,Retro Biosciences",Biology,"Protein generation,Proteins,Protein or nucleotide language model (pLM/nLM)",
MiniMax Speech-01-turbo (T2A-01-turbo),2025-01-17,MiniMax,Speech,"Text-to-speech (TTS),Speech synthesis",
MatterGen,2025-01-16,Microsoft Research AI for Science,Materials science,"Materials design,Crystal discovery",7.670245853074124
MiniMax Speech-01-HD (T2A-01-HD),2025-01-15,MiniMax,Speech,"Text-to-speech (TTS),Speech synthesis",
Pika 2.1,2025-01-15,Pika Labs,Video,"Video generation,Text-to-video",
Unichat-32B-c1,2025-01-15,China Unicom,Language,Unknown,10.505149978319906
InternLM3,2025-01-15,Shanghai AI Lab,Language,"Language modeling/generation,Chat",9.903089986991944
s1,2025-01-14,"Stanford University,University of Washington,Allen Institute for AI,Contextual AI",Language,"Language modeling/generation,Question answering,Quantitative reasoning",10.505149978319906
MiniMax-Text-01,2025-01-14,MiniMax,Language,"Language modeling/generation,Question answering",11.658964842664435
MiniMax-VL-01,2025-01-14,MiniMax,"Vision,Language,Multimodal","Visual question answering,Language modeling/generation,Question answering",
OpenBioLLM-Llama3-70B,2025-01-14,Saama,"Language,Medicine","Language modeling/generation,Question answering,Medical diagnosis",10.845098040014257
OpenBioLLM-Llama3-8B,2025-01-14,Saama,"Language,Medicine","Language modeling/generation,Question answering,Medical diagnosis",9.903089986991944
SenseNova Unified Large Model,2025-01-13,SenseTime,Language,Unknown,
Stable Point Aware 3D (SPAR3D),2025-01-08,"Stability AI,University of Illinois Urbana-Champaign (UIUC)",3D modeling,3D reconstruction,
"Cosmos-1.0-
Diffusion-14B Video2World",2025-01-07,NVIDIA,"Robotics,Vision,Video","Robotic manipulation,Self-driving car,Video generation",10.146128035678238
Cosmos-Predict1-7b-Video2World,2025-01-07,NVIDIA,"Video,Vision,Robotics","Robotic manipulation,System control,Video generation",9.845098040014257
voyage-3-large,2025-01-07,Voyage AI,Language,"Language modeling/generation,Question answering,Retrieval-augmented generation,Entity embedding,Translation",
Cosmos-Predict1-14b-Video2World,2025-01-07,NVIDIA,"Video,Vision,Robotics","Robotic manipulation,System control,Video generation",10.146128035678238
Tiangong 4.0,2025-01-06,Kunlun Inc.,Language,"Code generation,Chat,Search,Language modeling/generation",
OLMo 2 Furious 7B,2024-12-31,"Allen Institute for AI,University of Washington,New York University (NYU)",Language,"Language modeling/generation,Question answering",9.845098040014257
OLMo 2 Furious 13B,2024-12-31,"Allen Institute for AI,University of Washington,New York University (NYU)",Language,"Language modeling/generation,Question answering",10.113943352306837
STORM-B/8,2024-12-31,"University of Southern California,Georgia Institute of Technology,Stanford University,NVIDIA",3D modeling,"3D reconstruction,3D segmentation",8.002592398748002
Zhaoyan (兆言大语言模型),2024-12-30,Shanghai Jiao Tong University,Language,Unknown,
LTX-Video-0.9.1. 2B,2024-12-30,Lightricks,Video,"Video generation,Text-to-video,Image-to-video",9.278753600952829
HiDream Foundation Model 1.0,2024-12-28,HiDream,"Video,Image generation,Vision,3D modeling","Video generation,Image-to-video,Text-to-video,Image generation,Text-to-image",10.0
Zhixiang 3.0 (智象),2024-12-28,HiDream,"Video,Image generation","Video generation,Image-to-video,Text-to-video,Image generation,Text-to-image",10.113943352306837
LinGan VL (临感VL),2024-12-27,Beijing 58 Information Technology,Multimodal,Unknown,
Xiaomi Pengpai Image (小米澎湃图像),2024-12-27,Xiaomi Corp,Image generation,Image generation,
Xiaomi Edge-side Text (小米端侧文本),2024-12-27,Xiaomi Corp,Language,"Translation,Language generation",
QVQ,2024-12-25,Alibaba,"Language,Vision,Multimodal","Visual question answering,Video description,Language modeling/generation,Translation,Question answering,Character recognition (OCR),Quantitative reasoning",10.857332496431269
Jueqing LLM (觉卿大模型),2024-12-25,Suzhou Jueqing Diyu Intelligent Technology,"Language,Psychology",Chat,
Kokoro v0.19,2024-12-25,hexgrad,Speech,"Text-to-speech (TTS),Speech synthesis",7.913813852383717
DeepSeek-V3,2024-12-24,DeepSeek,Language,"Language modeling/generation,Code generation,Quantitative reasoning,Question answering",11.826722520168993
OCTAVE 8B,2024-12-23,Hume,Speech,"Speech synthesis,Text-to-speech (TTS)",9.903089986991944
OCTAVE 3B,2024-12-23,Hume,Speech,"Speech synthesis,Text-to-speech (TTS)",9.477121254719663
RMBG v2.0,2024-12-23,BRIA AI,"Image generation,Vision",Image-to-image,8.344392273685111
VRMBG 2.0,2024-12-23,BRIA AI,Video,Video editing,
o3,2024-12-20,OpenAI,"Language,Vision,Multimodal","Language modeling/generation,Question answering,Quantitative reasoning,Code generation,Visual question answering,Search,Instruction interpretation,Visual puzzles",
Gemini 2.0 Flash Thinking (Dec 2024),2024-12-19,"Google DeepMind,Google","Language,Vision,Multimodal","Language modeling/generation,Quantitative reasoning,Question answering,Visual question answering,Code generation",
SEA-LION V3 Gemma2 9B,2024-12-19,AI Singapore,Language,"Question answering,Chat,Language modeling/generation",9.954242509439325
SEA-LION V3 Llama3.1 8B,2024-12-19,AI Singapore,Language,"Question answering,Chat,Language modeling/generation",9.903089986991944
SEA-LION V3 Llama3.1 70B,2024-12-19,AI Singapore,Language,"Question answering,Chat,Language modeling/generation",10.845098040014257
Llama 3.1 Typhoon 2 70B,2024-12-19,Typhoon / SCB 10X,Language,"Language modeling/generation,Question answering,Quantitative reasoning",10.845098040014257
Llama 3.1 Typhoon 2 8B,2024-12-19,Typhoon / SCB 10X,Language,"Language modeling/generation,Question answering,Quantitative reasoning",9.903089986991944
Typhoon 2 7B,2024-12-19,Typhoon / SCB 10X,Language,"Language modeling/generation,Question answering,Quantitative reasoning",9.845098040014257
LLama 3.2 Typhoon 2 3B,2024-12-19,Typhoon / SCB 10X,Language,"Language modeling/generation,Question answering,Quantitative reasoning",9.477121254719663
LLama 3..2 Typhoon 2 1B,2024-12-19,Typhoon / SCB 10X,Language,"Language modeling/generation,Question answering,Quantitative reasoning",9.0
Typhoon2-Vision ,2024-12-19,Typhoon / SCB 10X,"Vision,Language,Multimodal","Language modeling/generation,Visual question answering",9.845098040014257
Typhoon2-Audio,2024-12-19,Typhoon / SCB 10X,"Audio,Language,Speech,Multimodal","Language modeling/generation,Speech synthesis,Speech recognition (ASR),Text-to-speech (TTS),Audio generation,Audio question answering,Translation,Speech-to-speech",9.986234130134996
Kling 1.6 Pro,2024-12-19,Kuaishou Technology,"Video,Vision","Video generation,Text-to-video,Image-to-video",
Granite 3.1 2B,2024-12-18,IBM,Language,"Language modeling/generation,Question answering,Translation",9.397940008672037
Granite 3.1 8B,2024-12-18,IBM,Language,"Language modeling/generation,Question answering,Translation",9.90848501887865
Eleven Flash v2.5,2024-12-18,ElevenLabs,Speech,"Text-to-speech (TTS),Speech synthesis",
Typhoon2-Vision,2024-12-18,Typhoon / SCB 10X,Unknown,Unknown,9.845098040014257
Falcon3-7B,2024-12-17,Technology Innovation Institute,Language,"Language modeling/generation,Question answering,Code generation",9.845098040014257
Veo 2,2024-12-16,Google DeepMind,"Video,Vision","Video generation,Text-to-video,Image-to-video",
SEA-LION-v1-7B-IT,2024-12-16,AI Singapore,Language,"Question answering,Chat,Language modeling/generation",9.8750612633917
F5-TTS,2024-12-15,"Shanghai Jiao Tong University,University of Cambridge,Geely Automobile Research Institute (Ningbo) Company",Speech,"Speech synthesis,Translation",8.52608069180203
Jinshi (金石大模型),2024-12-15,"Wuxi Sixiang Digital Intelligence Technology Co., Ltd.",Language,"Chat,Language modeling/generation,Recommender system",
Pika 2.0,2024-12-15,Pika Labs,Video,"Video generation,Text-to-video",
Apollo 7B,2024-12-13,"Meta AI,Stanford University","Video,Language,Multimodal",Video description,9.845098040014257
Apollo 3B,2024-12-13,"Meta AI,Stanford University","Video,Language,Multimodal",Video description,9.477121254719663
Apollo 1.5B,2024-12-13,"Meta AI,Stanford University","Video,Language,Multimodal",Video description,9.176091259055681
360zhinao2-o1,2024-12-13,360 Security Technology,Language,Unknown,
Apollo-7B,2024-12-13,"Meta AI,Stanford University","Multimodal,Video,Language","Video,Visual question answering,Video description,Language modeling/generation",9.845098040014257
GigaChat Lite (GigaChat-20B-A3B),2024-12-13,Sber,Language,"Language modeling/generation,Question answering,Chat",10.301029995663981
Phi-4,2024-12-12,Microsoft Research,Language,"Language modeling/generation,Question answering,Code generation,Quantitative reasoning",10.146128035678238
Gemini 2.0 Flash,2024-12-11,"Google DeepMind,Google","Language,Vision,Audio,Speech,Video,Multimodal","Language modeling/generation,Question answering,Visual question answering,Speech recognition (ASR),Code generation,Quantitative reasoning,Video description,Translation,Chat,Table tasks,Search,Text summarization",
Gemini 2.0 Pro,2024-12-11,Google DeepMind,"Language,Multimodal,Vision,Video,Audio","Code generation,Language modeling/generation,Question answering,Visual question answering,Speech recognition (ASR),Video description",
Coconut,2024-12-11,"Facebook,University of California San Diego",Language,"Language modeling/generation,Question answering,Quantitative reasoning,Mathematical reasoning",
T-Pro,2024-12-11,T-Bank,Language,"Language modeling/generation,Question answering,Code generation,Mathematical reasoning",10.505149978319906
T-Lite,2024-12-11,T-Bank,Language,"Language modeling/generation,Question answering,Code generation,Mathematical reasoning",9.845098040014257
Sora Turbo,2024-12-09,OpenAI,"Video,Vision","Video generation,Text-to-video",
EXAONE 3.5 2.4B,2024-12-09,LG AI Research,Language,"Language modeling/generation,Question answering,Translation",9.380211241711606
EXAONE 3.5 7.8B,2024-12-09,LG AI Research,Language,"Language modeling/generation,Question answering,Translation",9.89209460269048
EXAONE 3.5 32B,2024-12-09,LG AI Research,Language,"Language modeling/generation,Question answering,Translation",10.505149978319906
xTrimoPGLM - 1B,2024-12-09,Unknown,Unknown,Unknown,9.0
Grok Image Generation / Aurora,2024-12-09,xAI,Image generation,"Image generation,Text-to-image,Image-to-image",
Llama 3.3 70B,2024-12-06,Meta AI,Language,"Language modeling/generation,Question answering,Translation,Code generation",10.845098040014257
InternVL2_5-26B,2024-12-06,"Shanghai AI Lab,SenseTime,Tsinghua University,Nanjing University,Fudan University,Chinese University of Hong Kong (CUHK),Shanghai Jiao Tong University","Multimodal,Language,Vision","Visual question answering,Language modeling/generation",10.406540180433955
InternVL2_5-38B,2024-12-06,"Shanghai AI Lab,SenseTime,Tsinghua University,Nanjing University,Fudan University,Chinese University of Hong Kong (CUHK),Shanghai Jiao Tong University","Multimodal,Language,Vision","Visual question answering,Language modeling/generation",10.584331224367531
InternVL2_5-78B,2024-12-06,"Shanghai AI Lab,SenseTime,Tsinghua University,Nanjing University,Fudan University,Chinese University of Hong Kong (CUHK),Shanghai Jiao Tong University","Multimodal,Language,Vision","Visual question answering,Language modeling/generation,Question answering,Character recognition (OCR)",10.894316062684439
o1,2024-12-05,OpenAI,"Language,Mathematics,Multimodal","Code generation,Language modeling/generation,Quantitative reasoning,Chat,Question answering,Translation,Mathematical reasoning",
NVILA 15B,2024-12-05,"NVIDIA,Massachusetts Institute of Technology (MIT),University of California (UC) Berkeley,University of California San Diego,University of Washington,Tsinghua University","Vision,Language,Multimodal,Video","Visual question answering,Video description,Language modeling/generation,Question answering,Character recognition (OCR)",10.176091259055681
NVILA 8B,2024-12-05,"NVIDIA,Massachusetts Institute of Technology (MIT),University of California (UC) Berkeley,University of California San Diego,University of Washington,Tsinghua University","Vision,Language,Multimodal,Video","Visual question answering,Video description",9.903089986991944
Infinity,2024-12-05,ByteDance,Image generation,"Image generation,Text-to-image",9.301029995663981
Pleias 1.0 350m,2024-12-05,PleIAs,Language,"Language modeling/generation,Question answering,Translation",8.544068044350276
Pleias 1.0 1.2B,2024-12-05,PleIAs,Language,"Language modeling/generation,Question answering,Translation",9.079181246047625
Genie 2,2024-12-04,Google DeepMind,"Games,Video,3D modeling","Video generation,Text-to-video",
voyage-code-3,2024-12-04,Voyage AI,Language,"Code generation,Code autocompletion,Retrieval-augmented generation,Entity embedding",
TokenFlow-XL,2024-12-04,ByteDance,"Vision,Multimodal,Language",Visual question answering,10.146128035678238
TokenFlow-t2i,2024-12-04,ByteDance,Image generation,"Image generation,Text-to-image",
Amazon Nova Pro,2024-12-03,Amazon,"Multimodal,Language,Video,Vision","Language modeling/generation,Retrieval-augmented generation,Visual question answering,Image captioning,Video description,Character recognition (OCR),Code generation,Translation",
